Idx_Sample;Mixture Code in Ref;FA (kg/m3);GGBFS (kg/m3);Total powder (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg);NaOH (kg);water-eff (kg);Weight mixture (kg);Initial curing temp (C);CO2 emissions (kg/m3) - a-priori;f,c(28d) (MPa) - MD1 Target
1555;FA-50 GGBS- 50 B-400 AGG/B-4.54 ALK/B-0.55 T ºC - 25;200;200;400;1043,045024;772,954976;1816;62,85714286;144,2714286;2461,595714;25;168,2022771;
1556;FA-50 GGBS- 50 B-410 AGG/B-4.38 ALK/B-0.55 T ºC - 25;205;205;410;1026,649881;769,150119;1795,8;64,42857143;147,8782143;2457,535357;25;172,0921486;
1557;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 25;210;210;420;1010,929815;765,670185;1776,6;66;151,485;2454,485;25;175,99904;
1558;FA-50 GGBS- 50 B-430 AGG/B-4.10 ALK/B-0.55 T ºC - 25;215;215;430;967,961046;795,038954;1763;67,57142857;155,0917857;2457,024643;25;179,9205914;
1559;FA-50 GGBS- 50 B-440 AGG/B-3.97 ALK/B-0.55 T ºC - 25;220;220;440;969,4600256;777,3399744;1746,8;69,14285714;158,6985714;2456,964286;25;183,8296629;
1560;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 25;225;225;450;971,9619525;760,5380475;1732,5;70,71428571;162,3053571;2458,803929;25;187,7478543;
1561;FA-70 GGBS- 30 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 25;252;108;360;1090,844597;773,9554032;1864,8;61,71428571;140,8628571;2463,841429;25;158,7102143;
1562;FA-70 GGBS- 30 B-370 AGG/B-5.02 ALK/B-0.60 T ºC - 25;259;111;370;1081,558448;775,8415522;1857,4;63,42857143;144,7757143;2473,082857;25;162,8363686;
1563;FA-70 GGBS- 30 B-380 AGG/B-4.86 ALK/B-0.60 T ºC - 25;266;114;380;1070,455144;776,3448564;1846,8;65,14285714;148,6885714;2479,124286;25;166,9471629;
1564;FA-70 GGBS- 30 B-390 AGG/B-4.70 ALK/B-0.60 T ºC - 25;273;117;390;1057,564014;775,435986;1833;66,85714286;152,6014286;2481,955714;25;171,0303771;
1565;FA-70 GGBS- 30 B-400 AGG/B-4.54 ALK/B-0.60 T ºC - 25;280;120;400;1043,045024;772,954976;1816;68,57142857;156,5142857;2481,597143;25;175,1104514;
1566;FA-70 GGBS- 30 B-410 AGG/B-4.38 ALK/B-0.60 T ºC - 25;287;123;410;1026,649881;769,150119;1795,8;70,28571429;160,4271429;2478,038571;25;179,1751657;
1567;FA-70 GGBS- 30 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 25;294;126;420;1010,929815;765,670185;1776,6;72;164,34;2475,48;25;183,24468;
1568;FA-70 GGBS- 30 B-430 AGG/B-4.10 ALK/B-0.60 T ºC - 25;301;129;430;967,961046;795,038954;1763;73,71428571;168,2528571;2478,521429;25;187,3410743;
1569;FA-70 GGBS- 30 B-440 AGG/B-3.97 ALK/B-0.60 T ºC - 25;308;132;440;969,4600256;777,3399744;1746,8;75,42857143;172,1657143;2478,962857;25;191,4249886;
1570;FA-70 GGBS- 30 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 25;315;135;450;971,9619525;760,5380475;1732,5;77,14285714;176,0785714;2481,304286;25;195,5180229;
1571;FA-60 GGBS- 40 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 25;216;144;360;1090,844597;773,9554032;1864,8;61,71428571;140,8628571;2463,841429;25;160,4382143;
1572;FA-60 GGBS- 40 B-370 AGG/B-5.02 ALK/B-0.60 T ºC - 25;222;148;370;1081,558448;775,8415522;1857,4;63,42857143;144,7757143;2473,082857;25;164,6123686;
1573;FA-60 GGBS- 40 B-380 AGG/B-4.86 ALK/B-0.60 T ºC - 25;228;152;380;1070,455144;776,3448564;1846,8;65,14285714;148,6885714;2479,124286;25;168,7711629;
1574;FA-60 GGBS- 40 B-390 AGG/B-4.70 ALK/B-0.60 T ºC - 25;234;156;390;1057,564014;775,435986;1833;66,85714286;152,6014286;2481,955714;25;172,9023771;
1575;FA-60 GGBS- 40 B-400 AGG/B-4.54 ALK/B-0.60 T ºC - 25;240;160;400;1043,045024;772,954976;1816;68,57142857;156,5142857;2481,597143;25;177,0304514;
1576;FA-60 GGBS- 40 B-410 AGG/B-4.38 ALK/B-0.60 T ºC - 25;246;164;410;1026,649881;769,150119;1795,8;70,28571429;160,4271429;2478,038571;25;181,1431657;
1577;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 25;252;168;420;1010,929815;765,670185;1776,6;72;164,34;2475,48;25;185,26068;
1578;FA-60 GGBS- 40 B-430 AGG/B-4.10 ALK/B-0.60 T ºC - 25;258;172;430;967,961046;795,038954;1763;73,71428571;168,2528571;2478,521429;25;189,4050743;
1579;FA-60 GGBS- 40 B-440 AGG/B-3.97 ALK/B-0.60 T ºC - 25;264;176;440;969,4600256;777,3399744;1746,8;75,42857143;172,1657143;2478,962857;25;193,5369886;
1580;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 25;270;180;450;971,9619525;760,5380475;1732,5;77,14285714;176,0785714;2481,304286;25;197,6780229;
1581;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.60 T ºC - 25;180;180;360;1090,844597;773,9554032;1864,8;61,71428571;140,8628571;2463,841429;25;162,1662143;
1582;FA-50 GGBS- 50 B-370 AGG/B-5.02 ALK/B-0.60 T ºC - 25;185;185;370;1081,558448;775,8415522;1857,4;63,42857143;144,7757143;2473,082857;25;166,3883686;
1583;FA-50 GGBS- 50 B-380 AGG/B-4.86 ALK/B-0.60 T ºC - 25;190;190;380;1070,455144;776,3448564;1846,8;65,14285714;148,6885714;2479,124286;25;170,5951629;
1584;FA-50 GGBS- 50 B-390 AGG/B-4.70 ALK/B-0.60 T ºC - 25;195;195;390;1057,564014;775,435986;1833;66,85714286;152,6014286;2481,955714;25;174,7743771;
1585;FA-50 GGBS- 50 B-400 AGG/B-4.54 ALK/B-0.60 T ºC - 25;200;200;400;1043,045024;772,954976;1816;68,57142857;156,5142857;2481,597143;25;178,9504514;
1586;FA-50 GGBS- 50 B-410 AGG/B-4.38 ALK/B-0.60 T ºC - 25;205;205;410;1026,649881;769,150119;1795,8;70,28571429;160,4271429;2478,038571;25;183,1111657;
1587;FA-50 GGBS- 50 B-420 AGG/B-4.23 ALK/B-0.60 T ºC - 25;210;210;420;1010,929815;765,670185;1776,6;72;164,34;2475,48;25;187,27668;
1588;FA-50 GGBS- 50 B-430 AGG/B-4.10 ALK/B-0.60 T ºC - 25;215;215;430;967,961046;795,038954;1763;73,71428571;168,2528571;2478,521429;25;191,4690743;
1589;FA-50 GGBS- 50 B-440 AGG/B-3.97 ALK/B-0.60 T ºC - 25;220;220;440;969,4600256;777,3399744;1746,8;75,42857143;172,1657143;2478,962857;25;195,6489886;
1590;FA-50 GGBS- 50 B-450 AGG/B-3.85 ALK/B-0.60 T ºC - 25;225;225;450;971,9619525;760,5380475;1732,5;77,14285714;176,0785714;2481,304286;25;199,8380229;
